%time,field.x,field.y,field.theta
1592346910185347911,100.850147009,108.492261171,65.6387686729
1592346910277980510,100.858324766,102.882319689,49.8904526234
1592346910385169519,101.483923197,103.139919043,104.248005152
1592346910482559454,101.453256607,106.723821163,66.8838322163
1592346910581243888,103.139919043,104.366582632,69.2165374756
1592346910684192479,101.038235426,106.028711796,96.4954912663
1592346910781912094,101.287657022,106.930309534,66.2500560284
1592346910883003695,101.655656099,106.871020794,73.2747495174
1592346910981886033,102.316009998,106.740176678,74.4032800198
1592346911086814113,101.876455545,107.821685076,109.048348665
1592346911181472181,100.825613737,107.717418671,72.8433728218
1592346911283047403,100.635480881,106.680887938,64.5715713501
1592346911381121956,101.688367128,106.468266249,69.2349374294
1592346911480971797,101.228368282,107.316708565,67.9735183716
1592346911581630200,102.050232887,109.579902887,67.9755628109
1592346911680694090,101.261079311,107.341241837,63.0607306957
1592346911781231088,103.800272942,106.049156189,66.0701453686
1592346911880192164,100.232726336,103.02747488,61.5008234978
1592346911980935103,102.084988356,106.879198551,66.053789854
1592346912082278606,102.299654484,106.245422363,72.2279965878
1592346912181446920,99.7788608074,103.450673819,73.5057711601
1592346912281742383,101.271301508,109.340703487,71.7823088169
1592346912381778202,101.040279865,106.715643406,70.09973526
1592346912481666097,101.496189833,106.468266249,67.9142296314
1592346912580434324,103.174674511,103.65511775,74.566835165
1592346912676919604,100.412636995,103.929072618,48.6045002937
1592346912777742614,101.68223381,106.691110134,47.7724134922
1592346912877022963,99.3740618229,105.008536577,47.3430812359
1592346912979912609,100.825613737,104.13351655,75.3314554691
1592346913076282186,101.672011614,97.2744226456,47.324681282
1592346913179932505,101.05663538,104.76115942,74.566835165
1592346913278624473,100.001704693,107.709240913,47.3328590393
1592346913381385046,100.868546963,110.85767746,66.8674767017
1592346913481473733,102.119743824,107.752174139,71.5410649776
1592346913581879268,102.522498369,108.911371231,65.8473014832
1592346913681925178,95.2279388905,107.128620148,69.2022264004
1592346913783558620,102.516365051,106.49279952,83.7586343288
1592346913886023309,100.602769852,107.960706949,103.620362282
1592346913985036346,100.594592094,102.207654715,105.010581017
1592346914081807083,100.635480881,107.580441236,74.1211473942
1592346914183387284,101.870322227,107.588618994,76.4395415783
1592346914286171707,99.7788608074,106.5541327,96.254247427
1592346914382422063,101.692456007,109.126037359,74.61181283
1592346914484608459,101.698589325,108.259195089,76.4722526073
1592346914584867031,101.663833857,104.675292969,101.167035103
1592346914684837053,101.199746132,104.057872295,100.525081158
1592346914784976998,101.451212168,107.314664125,100.259304047
1592346914878591024,101.896899939,106.664532423,48.412322998
1592346914982678927,102.925252914,110.213679075,68.3946728706
1592346915082161956,100.406503677,105.609601736,65.3668582439
1592346915183074740,102.127921581,106.879198551,69.672447443
1592346915282478751,101.870322227,107.343286276,67.6729857922
1592346915381391325,100.232726336,105.231380463,66.0353899002
1592346915484085600,100.968724489,107.369863987,71.3693320751
1592346915578330208,101.263123751,100.868546963,50.3095626831
1592346915681552346,99.6929943562,107.743996382,73.718392849
1592346915785945540,100.191837549,106.903731823,97.9265987873
1592346915879268495,101.647478342,107.102042437,48.3285009861
1592346915981190338,100.839924812,105.200713873,69.8421359062
1592346916084588732,100.394237041,109.418392181,75.2353668213
1592346916185624477,101.23654604,110.060346127,98.7852632999
1592346916285438962,101.449167728,106.49279952,103.413873911
1592346916381410376,103.354585171,105.583024025,74.3542134762
1592346916481678521,101.032102108,109.357059002,70.5127120018
1592346916584493071,101.263123751,106.989598274,98.6053526402
1592346916683740658,99.7870385647,100.455570221,96.409624815
1592346916784422852,101.201790571,102.804630995,97.3091781139
1592346916881308770,100.825613737,102.39983201,73.5323488712
1592346916981590897,102.735120058,109.794569016,68.6093389988
1592346917085720834,100.833791494,108.962482214,99.0305960178
1592346917183964472,101.271301508,99.2043733597,96.2031364441
1592346917278749162,101.502323151,107.770574093,49.4938313961
1592346917381265438,101.676100492,107.341241837,68.9609825611
1592346917484428909,100.844013691,104.31342721,95.6122934818
1592346917579788609,102.301698923,102.634942532,61.9628667831
1592346917683953768,125.546973944,107.574307919,66.2582337856
1592346917784241837,101.261079311,104.830670357,97.7201104164
1592346917879973939,101.459389925,104.19484973,62.2041106224
1592346917984762959,100.138682127,106.441688538,101.948010921
1592346918082530196,106.836265326,106.057333946,76.120609045
1592346918181391768,101.05663538,103.432273865,74.1477251053
1592346918280986217,99.7625052929,107.110220194,70.72737813
1592346918381659780,100.833791494,104.221427441,74.3951022625
1592346918479873047,100.00988245,99.7195720673,66.2766337395
1592346918581176360,107.075464725,104.887914658,65.8289015293
1592346918681771831,102.283298969,110.264790058,70.5127120018
1592346918778663322,100.823569298,107.512974739,48.3959674835
1592346918885051872,101.244723797,107.735818624,98.8097965717
1592346918981636626,102.52045393,106.519377232,74.4053244591
1592346919081888899,99.4272172451,107.298308611,74.0700364113
1592346919185536267,102.72898674,107.333064079,103.646939993
1592346919281118907,102.326232195,106.061422825,66.0476565361
1592346919380607246,101.252901554,97.846865654,74.8183012009
1592346919482075425,105.762934685,110.017412901,68.5480058193
1592346919586166046,100.627303123,107.067286968,99.4599282742
1592346919681894702,104.358404875,102.798497677,73.9575922489
1592346919783490991,94.4633185863,97.3275780678,97.1292674541
1592346919881214523,104.004716873,111.48327589,54.795062542
1592346919983566893,101.700633764,107.35964179,66.6793882847
1592346920081981655,101.92347765,107.770574093,70.5229341984
1592346920185338212,101.459389925,109.614658356,101.072990894
1592346920281388196,100.604814291,102.890497446,75.2292335033
1592346920381423563,99.5662391186,109.089237452,67.4828529358
1592346920481139805,102.514320612,103.456807137,70.2796459198
1592346920578917595,101.510500908,108.680349588,49.2873430252
1592346920680724342,102.301698923,109.175103903,62.6048207283
1592346920781470532,101.263123751,109.305948019,69.4230258465
1592346920881257569,101.657700539,108.095639944,65.5958354473
1592346920980129750,100.858324766,104.13351655,75.5808770657
1592346921077767746,103.389340639,106.981420517,50.5303621292
1592346921176601778,101.449167728,97.5136220455,52.4521350861
1592346921277021435,101.465523243,104.554671049,48.6045002937
1592346921380184809,100.643658638,104.562848806,74.534124136
1592346921480246526,100.825613737,104.785692692,75.2108335495
1592346921577189866,102.299654484,103.724628687,48.8273441792
1592346921681053858,102.291476727,108.518838882,65.820723772
1592346921781888805,102.30987668,107.53955245,73.1193721294
1592346921884082120,101.271301508,103.458851576,96.9309568405
1592346921986001142,99.9914824963,106.901687384,102.377343178
1592346922081328357,107.273775339,105.859023333,65.632635355
1592346922181820271,99.9935269356,108.672171831,75.0145673752
1592346922281552030,99.3761062622,107.322841883,74.3460357189
1592346922381418582,101.870322227,110.017412901,67.930585146
1592346922482361452,100.224548578,105.32746911,80.5365979671
1592346922582014749,101.483923197,107.746040821,74.3378579617
1592346922680873058,106.834220886,105.063736439,63.6536180973
1592346922783286739,100.801080465,108.156973124,73.9412367344
1592346922891512035,103.139919043,109.794569016,97.9531764984
1592346922980781749,100.807213783,102.831208706,67.7240967751
1592346923085121752,101.252901554,103.95565033,100.267481804
1592346923180833053,100.183659792,105.470579863,68.1125402451
1592346923285437625,98.9120185375,107.102042437,101.727211475
1592346923381667769,99.7727274895,105.703645945,66.8920099735
1592346923486570022,96.254247427,102.804630995,102.358943224
1592346923581131377,101.723122597,107.95866251,65.8043682575
1592346923681639901,102.111566067,106.766754389,65.2033030987
1592346923785208341,102.737164497,109.614658356,98.1678426266
1592346923880966308,100.621169806,107.134753466,65.4016137123
1592346923981604922,101.058679819,111.491453648,66.4565443993
