%time,field.x,field.y,field.theta
1592368882641871918,140.035915375,94.3263411522,101.700633764
1592368882740555234,136.282324791,101.647478342,93.4329211712
1592368882831031483,107.445508242,99.006062746,110.309767723
1592368882939054926,115.72753191,103.704184294,101.502323151
1592368883038630416,106.337422132,98.3375310898,108.551549911
1592368883137633339,114.210557938,104.384982586,93.612831831
1592368883240075849,118.757390976,100.525081158,103.080630302
1592368883339685709,124.510443211,104.358404875,93.3634102345
1592368883437455462,111.630475521,100.850147009,92.7398562431
1592368883539322813,126.456749439,106.905776262,98.7423300743
1592368883639449482,127.372658253,103.636717796,102.420276403
1592368883737217420,111.062121391,101.107746363,104.587382078
1592368883837967636,120.462453365,103.886139393,97.685354948
1592368883939760933,123.455512524,100.813347101,104.554671049
1592368884031350242,123.67631197,98.5624194145,105.517601967
1592368884135913153,111.971896887,101.948010921,74.1415917873
1592368884238824454,113.713759184,100.173437595,95.9986925125
1592368884338081652,142.431998253,93.373632431,109.101504087
1592368884443346906,138.657963276,95.5693602562,95.354694128
1592368884539892544,106.680887938,107.60088563,103.963828087
1592368884642187353,135.871392488,99.8831272125,109.191459417
1592368884737218861,111.09687686,96.2276697159,94.7025179863
1592368884841445035,122.312670946,101.631122828,103.227829933
1592368884939375546,113.405048847,101.903033257,106.460088491
1592368885040145466,106.586843729,101.218146086,109.606480598
1592368885142463070,125.863862038,98.9651739597,109.649413824
1592368885239540758,124.561554193,98.5092639923,109.426569939
1592368885337753246,107.84008503,99.8974382877,108.876615763
1592368885437217422,105.531913042,100.903302431,104.356360435
1592368885538034268,113.069760799,103.679651022,104.111027718
1592368885638313138,122.793114185,104.092627764,95.7738041878
1592368885738418399,111.086654663,102.469342947,110.097146034
1592368885836549518,112.572962046,99.1859734058,94.2302525043
1592368885941177947,103.765517473,103.225785494,106.689065695
1592368886037876453,114.320957661,97.652643919,94.0421640873
1592368886141226953,135.339838266,102.438676357,96.8634903431
1592368886239179741,109.134215117,105.732268095,101.277434826
1592368886339666368,107.427108288,112.296962738,101.672011614
1592368886438235092,111.920785904,102.833253145,97.3786890507
1592368886539273805,139.181339741,99.5294392109,74.7569680214
1592368886638825425,113.190382719,102.232187986,100.868546963
1592368886737850218,105.728179216,93.4083878994,108.807104826
1592368886840858778,112.607717514,95.4937160015,113.294649124
1592368886938990396,112.108874321,107.821685076,97.0618009567
1592368887039353414,111.612075567,101.279479265,97.7037549019
1592368887140222351,126.66323781,100.627303123,100.001704693
1592368887241548098,125.426352024,103.448629379,95.3199386597
1592368887333711641,106.143200397,98.1596648693,68.1350290775
1592368887434323526,107.228797674,96.6672241688,73.9085257053
1592368887537783024,114.167624712,86.0933840275,96.176558733
1592368887636210454,109.606480598,102.978408337,75.0636339188
1592368887741525652,124.105644226,103.105163574,96.9064235687
1592368887834267022,109.579902887,93.4247434139,74.1109251976
1592368887940205731,108.70488286,106.251555681,95.3281164169
1592368888035538180,109.821146727,104.399293661,74.5320796967
1592368888133332247,106.543910503,98.1412649155,65.9924566746
1592368888240879844,121.550095081,95.121628046,108.13857317
1592368888339028296,107.218575478,100.122326612,109.776169062
1592368888438271197,120.264142752,94.9090063572,96.6406464577
1592368888534165751,106.372177601,101.406234503,69.4148480892
1592368888638176483,140.980446339,95.5591380596,74.7569680214
1592368888738048877,113.738292456,101.357167959,94.0503418446
1592368888840731570,124.089288712,102.882319689,102.557253838
1592368888937867793,107.057064772,95.7738041878,103.939294815
1592368889037947555,107.443463802,94.2547857761,106.85262084
1592368889138938102,136.746412516,100.167304277,74.7549235821
1592368889240410013,124.336665869,106.398755312,97.7037549019
1592368889336114347,147.643274069,96.520024538,49.5388090611
1592368889437279225,106.349688768,100.664103031,95.9884703159
1592368889538608083,103.379118443,112.057763338,96.4341580868
1592368889642455076,139.616805315,104.981958866,101.68223381
1592368889738327260,106.552088261,100.764280558,93.0138111115
1592368889838248894,106.801509857,107.923907042,96.2215363979
1592368889939690528,114.854556322,109.710747004,97.8938877583
1592368890038112754,107.034575939,104.622137547,96.6488242149
1592368890137557987,107.453685999,101.17521286,95.8085596561
1592368890237587730,108.283728361,100.799036026,92.797100544
1592368890340912212,133.332198858,100.823569298,94.3181633949
1592368890437373925,108.336883783,97.497266531,99.9771714211
1592368890540829220,124.567687511,99.8913049698,99.5969057083
1592368890639559461,108.543372154,102.119743824,109.021770954
1592368890739410448,112.151807547,105.662757158,99.8463273048
1592368890836877704,109.829324484,101.269257069,74.7733235359
1592368890938702907,110.994654894,103.71645093,97.685354948
1592368891039685695,115.745931864,102.575653791,97.8836655617
1592368891142072670,127.94919014,101.451212168,110.281145573
1592368891238534883,105.515557528,102.084988356,103.765517473
1592368891339797223,106.380355358,112.296962738,100.163215399
1592368891437267090,122.400581837,104.143738747,74.9798119068
1592368891536714286,107.883018255,111.867630482,75.6238102913
1592368891641814783,123.882800341,103.763473034,109.87021327
1592368891738639102,120.05969882,100.629347563,92.5660789013
1592368891838273721,110.659366846,103.338229656,95.3710496426
1592368891934192886,142.636442184,94.2486524582,106.253600121
1592368892039110774,106.141155958,96.6304242611,104.368627071
1592368892141211177,123.032313585,107.746040821,95.8024263382
